title,url,summary,press,date
"뉴욕증시, AI 반도체 주 반등·블루칩은 반락…혼조 출발",https://n.news.naver.com/mnews/article/001/0014769279,김 현 연합인포맥스 통신원 = 뉴욕증시는 최근 시장의 향배를 좌우하고 있는 인공지능(AI) 반도체 주들이 반등하고 '블루칩' 우량주들이..,연합뉴스 ,2024-06-25 23:54:00
"뉴욕증시, 장 초반 혼조세…엔비디아 반등에 S&P500·나스닥 상승",https://n.news.naver.com/mnews/article/277/0005436945,미국 뉴욕증시의 3대 지수는 25일(현지시간) 장 초반 혼조세를 나타내고 있다. 전날 7% 가까이 하락한 엔비디아가 2% 넘게 반등하며..,아시아경제 ,2024-06-25 22:54:23
"“참을만큼 참았다, 이제는 좀 가자”...‘이 종목’ 추천 늘어난 이유",https://n.news.naver.com/mnews/article/009/0005324759,"증권사, 삼성전자 ETF 추천 늘어 D램값 상승에 수익성 개선 기대 삼전 비중 20% 넘는 ETF 유망 올 하반기 메모리 반도체 업황 ..",매일경제 ,2024-06-25 22:37:09
"“미친듯 달리더니 갑자기 왜 이래”...600조 증발한 엔비디아, 젠슨황도 팔았다는데",https://n.news.naver.com/mnews/article/009/0005324747,"‘AI 대장주’ 엔비디아 급브레이크 사흘만에 시총 600조원 증발 젠슨 황, 이달 72만주 매도 “닷컴버블 때 시스코와 비슷” AI 장..",매일경제 ,2024-06-25 21:28:11
"""제철 과일 싸졌네"" 착해진 수박·토마토…폭염 오면 다시 '들썩' 우려",https://n.news.naver.com/mnews/article/057/0001825881,"최근 수박이나 참외, 토마토 등 제철 과일이 나오면서 그나마 과일값에 숨통이 트였습니다. 하지만, 곧 폭염이 시작되면 과일 뿐 아니라 ..",MBN ,2024-06-25 20:12:12
엔비디아 급락은 젠슨 황 매도 때문?…내부자들 6000억 이상 팔아,https://n.news.naver.com/mnews/article/031/0000847694,엔비디아가 하루 만에 6%대 급락한 가운데 젠슨 황 엔비디아 최고경영자(CEO) 등 간부들의 주식 매도가 투자자들의 불안을 부추겼다는 ..,아이뉴스24 ,2024-06-25 19:30:06
“여름 보너스 챙기려면 얼른 사세요”…배당 빵빵한 ‘이 종목’,https://n.news.naver.com/mnews/article/009/0005324722,분기배당 주목할 곳은 작년보다 배당액 확대 전망에 투자 쏠리며 현대차우 3% 쑥 KB 등 금융주는 배당률 1%대 특별배당 주는 ETF에..,매일경제 ,2024-06-25 19:18:06
"국민연금, 하반기 거래증권사 통보…NH·LS '복귀' 대신·신한 '탈락'",https://n.news.naver.com/mnews/article/277/0005436897,국민연금의 올해 하반기 국내 주식 거래증권사가 결정됐다. 상반기 제외됐던 NH투자증권 등 6개 사가 다시 포함됐지만 신한투자증권과 대신..,아시아경제 ,2024-06-25 18:20:42
"출렁거리는 환율… 코스피, 外人시대",https://n.news.naver.com/mnews/article/029/0002882959,"외국인, 이달 4.48조 순매수 이틀간 3190·5080억 매도 동기 코스피 2800선 붕괴 달러 1380원대로 강세 영향 최근 글로벌..",디지털타임스 ,2024-06-25 18:15:09
엔비디아 독주에 커지는 AI 불안감… 동반 성장이 관건,https://n.news.naver.com/mnews/article/029/0002882957,"4거래일 만에 장중 6%대 상승 마감 3거래일간 13% 하락은 만회 못해 시장선 ""단순 조정장… 매우 건전"" 투자회수, 매년 수천억 수..",디지털타임스 ,2024-06-25 18:15:09
“SK만 바라봅니다”…‘리밸런싱’에 사모펀드도 군침[마켓인],https://n.news.naver.com/mnews/article/018/0005773564,SK그룹의 대대적인 사업 포트폴리오 재편이 이달 베일을 벗는다. 219개에 달하는 계열사를 정리하는 과정에서 중복 계열사 간의 합병 및..,이데일리 ,2024-06-25 18:11:13
日거래소 물량 폭탄 우려에…비트코인 한때 6만弗 붕괴,https://n.news.naver.com/mnews/article/009/0005324658,"마운트곡스, 7월 매도 공식화 ETF 7일연속 순유출 영향도 비트코인이 25일 한때 8%가량 급락하며 6만달러 선 아래로 떨어졌다. 비..",매일경제 ,2024-06-25 18:00:19
젠슨황도 팔았다…엔비디아 고점 신호? 단기 조정?,https://n.news.naver.com/mnews/article/009/0005324655,"사흘만에 시총 600조원 증발 경영진도 매도 행렬 동참 ""닷컴버블 때 시스코와 비슷"" AI 장기 수익성 확보가 관건 미국 뉴욕 증시 상..",매일경제 ,2024-06-25 18:00:09
엔비디아 사흘간 13% 급락… 고점 물린 서학개미 울상,https://n.news.naver.com/mnews/article/014/0005204271,"액면분할하고 주가가 저렴해진 것 같아 들어왔더니 그전보다 더 떨어졌네요."" 서학개미들의 전폭적인 지지를 받고 있는 엔비디아가 3거래일 ..",파이낸셜뉴스 ,2024-06-25 17:58:20
"큰손 稅부담 줄어들수도… ""단기투자로 매매 빈도 늘려야""[6개월 앞둔 논란의 금투세]",https://n.news.naver.com/mnews/article/014/0005204268,"채권 투자자들은 오히려 유리하다고 하던데…"" ""장기 투자가 유리한가요?"" 금융투자소득세(금투세) 도입이 다가오면서 고액 자산가들의 고민..",파이낸셜뉴스 ,2024-06-25 17:57:18
상승세 멈췄던 국제 금값 다시 뛸까,https://n.news.naver.com/mnews/article/009/0005324649,달러강세로 2300달러대 하락 각국 중앙은행 금 확보 경쟁에 美대선도 금값 끌어올릴 호재 3분기부터 반등 전망 나와 지난달 연중 최고치..,매일경제 ,2024-06-25 17:57:09
"비트코인, 6만달러선에서 약세 지속…`마운트곡스` 악재 되나",https://n.news.naver.com/mnews/article/029/0002882946,가상화폐 대장주 비트코인이 6만달러선을 등락하며 약세를 이어가고 있다. 가상화폐 시황정보 사이트 코인마켓캡에 따르면 25일 오후 5시 ..,디지털타임스 ,2024-06-25 17:57:07
버핏·슬림…억만장자들은 에너지株 쇼핑 중,https://n.news.naver.com/mnews/article/015/0005001715,이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 조 바이든 미국 대통령이 재임하는 동안 가장 높은 성과..,한국경제 ,2024-06-25 17:56:16
"엔비디아 거품 걷히나…하루새 7% 폭락, 시총 3조弗 밑으로",https://n.news.naver.com/mnews/article/015/0005001712,이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 인공지능(AI) 열풍의 최대 수혜주로 꼽히는 엔비디아 ..,한국경제 ,2024-06-25 17:54:17
현대차 또 신고가 … 두둑한 중간배당 기대,https://n.news.naver.com/mnews/article/009/0005324623,분기배당 주목할 곳은 작년보다 배당액 확대 전망에 투자 쏠리며 우선주 3% 상승 KB 등 금융주는 배당률 1%대 특별배당 주는 ETF에..,매일경제 ,2024-06-25 17:52:11
STX그린 한달새 69% 급등…바닷길 막히자 치솟는 해운株,https://n.news.naver.com/mnews/article/015/0005001708,해운주가 다시 상승세를 타고 있다. 해상 운임 상승과 선박 교체 수요 증가 등이 호재로 작용했다는 분석이 나온다. 전문가들은 실적 개선..,한국경제 ,2024-06-25 17:51:12
자산은 불리고 세금은 줄이고…S·T·A·R 꿀팁 쏟아진다,https://n.news.naver.com/mnews/article/011/0004357955,물가를 잡기 위해 시작된 고금리 시대가 점차 막을 내릴 것이라는 기대감이 부풀어 오르면서 주식·부동산 등이 상승세를 타고 있다. 글로벌..,서울경제 ,2024-06-25 17:50:17
"코스피, 엔비디아 폭락에도 선방…외인·기관 쌍끌이 매수 영향",https://n.news.naver.com/mnews/article/029/0002882941,간밤 뉴욕증시에서 엔비디아 등 반도체 업종이 조정을 겪은 가운데 25일 코스피지수는 소폭 상승 마감했다. 외국인과 기관의 쌍끌이 매수가..,디지털타임스 ,2024-06-25 17:48:07
"""얼어붙은 2차전지株…3분기엔 달린다""",https://n.news.naver.com/mnews/article/015/0005001692,2차전지 관련주 주가가 맥을 추지 못하고 있는 가운데 하반기부터 실적이 회복돼 상승 추세로 돌아설 것이란 전망이 나왔다. 주가가 충분히..,한국경제 ,2024-06-25 17:40:14
“하반기 코스피 3200 간다”…바로 ‘이것’ 때문에 낙관론 나왔다,https://n.news.naver.com/mnews/article/011/0004357920,세계 각국이 금리 인하 행렬에 동참하고 있는 가운데 미국을 제외한 글로벌 경제가 서서히 회복할 것이라는 기대가 확산하면서 코스피지수가 ..,서울경제 ,2024-06-25 17:32:16
"""엔비디아 올라탔더니 13% 떨어져"" ""제2의 테슬라 되나"" 서학개미 울상",https://n.news.naver.com/mnews/article/014/0005204252,"액면분할하고 주가가 저렴해진 것 같아 들어왔더니 그전보다 더 떨어졌네요."" 서학개미들의 전폭적인 지지를 받고 있는 엔비디아가 3거래일 ..",파이낸셜뉴스 ,2024-06-25 17:32:16
“1억 투자하면 1년간 만 원”…한화운용도 美빅테크 ETF 수수료 ‘싹뚝’,https://n.news.naver.com/mnews/article/011/0004357919,상장지수펀드(ETF) 시장이 급성장하면서 시장점유율을 확보하기 위한 자산운용사들의 수수료 출혈경쟁이 극으로 치닫고 있다. 비슷한 콘셉트..,서울경제 ,2024-06-25 17:32:13
"엔비디아, 날개없는 추락…데이터로 살펴본 닷컴 vs AI",https://n.news.naver.com/mnews/article/215/0001168021,AI 열풍을 주도하고 있는 엔비디아의 주가가 3거래일 동안 16% 급락하면서 시가총액 1위 자리를 반납했습니다. 이에 엔비디아를 팔아야..,한국경제TV ,2024-06-25 17:29:37
게임주 모처럼 웃었다…물적분할 발표 엔씨소프트 7%↑[핫종목],https://n.news.naver.com/mnews/article/421/0007623726,게임사 주가가 모처럼 전반적으로 강세를 보였다. 특히 물적 분할 계획을 공시한 엔씨소프트(036570)는 7%대 상승 마감하며 20만 ..,뉴스1 ,2024-06-25 17:26:42
엔비디아 된서리에도…삼성전자·하이닉스 '외인·기관 순매수 1위'[핫종목],https://n.news.naver.com/mnews/article/421/0007623718,"엔비디아 주가 하락에도 국내 반도체 종목은 비교적 선방한 것으로 나타났다. 삼성전자(005930)는 외국인이, SK하이닉스(000660..",뉴스1 ,2024-06-25 17:24:46
"코스피, 사흘만에 2770선 회복… 외인·기관이 '쌍끌이'",https://n.news.naver.com/mnews/article/417/0001010477,코스피가 사흘만에 2770선을 회복했다. 엔비디아 등 미국 반도체주의 혼조 속에서도 외국인과 기관 매수세에 힘입어 지수가 오른 것이다...,머니S ,2024-06-25 17:23:33
"현대차, 노조 파업권 확보에도…인도IPO·실적개선에 '강세'[핫종목]",https://n.news.naver.com/mnews/article/421/0007623711,현대차(005380)가 인도법인 기업공개(IPO)과 실적개선 등 '호재'에 힘 입어 강세를 보이며 마감했다. 현대차 노조의 파업권 확보..,뉴스1 ,2024-06-25 17:23:08
 외인·기관 동반 매수에 2770선 안착[코스피 마감],https://n.news.naver.com/mnews/article/018/0005773502,25일 코스피 지수가 2770선 상승 마감했다. 코스피 지수는 나흘 만에 상승 전환했다. 외국인 투자자 자금이 삼성전자(005930)와..,이데일리 ,2024-06-25 17:19:13
“테슬라 주주로서 한 마디…엔비디아 하락? 귀엽네요” [투자360],https://n.news.naver.com/mnews/article/016/0002326842,‘테슬라 주주라면 엔비(디아) 지금? 귀엽다. (젠슨)황 회장 판다는데 그거 생각해야지. 지난주에도 팔고 계속 매도 때릴건데. 무섭지 ..,헤럴드경제 ,2024-06-25 17:02:24
역시 자발로는 안돼?…‘밸류업 공시’ 한 달인데 참여율 0.5% 고작 [투자360],https://n.news.naver.com/mnews/article/016/0002326840,국내 상장사들이 ‘코리아 디스카운트’(한국증시 저평가) 해소를 위해 기업가치 제고 계획을 알리는 ‘밸류업’(기업가치 제고) 공시 시행이..,헤럴드경제 ,2024-06-25 17:02:17
“더 떨어질지도 몰라”…슈퍼엔저 지속에 일학개미 가슴은 철렁 [투자360],https://n.news.naver.com/mnews/article/016/0002326839,일본 엔화가치가 다시 달러당 160엔대 코앞까지 추락하자 일본에 투자했던 ‘일학개미’들의 불안감이 커지고 있다. 이달 들어 엔화에 베팅..,헤럴드경제 ,2024-06-25 17:02:14
“조용히 ‘신고가’ 현비디아”·“외쳐 갓대차”…30만원 넘어 ‘목표가’ 40만원 도달 가능할까 [투자360],https://n.news.naver.com/mnews/article/016/0002326837,“현대차는 조용히 신고가를 기록하네요. 무림고수 같은 느낌으로 조용하고 강하게요.” (온라인 주식 커뮤니티) “내 주식 통장에서 현대차..,헤럴드경제 ,2024-06-25 16:54:14
엔비디아 급락에 관련 ETF도 ‘주르륵’… 고점 물린 개미 어쩌나,https://n.news.naver.com/mnews/article/366/0001000337,한투운용 ‘ACE 엔비디아밸류체인액티브’ 4.76% 하락 美 엔비디아 3거래일 연속 주가 내리막에 관련 ETF도 ‘휘청’ 미국 반도체 ..,조선비즈 ,2024-06-25 16:52:09
"엔비디아 고점서 판 투자자들, 코스피 찾을까…환율도 관건",https://n.news.naver.com/mnews/article/008/0005055360,코스피지수가 3거래일 만에 상승 마감했다. 강달러 현상이 소폭 진정된 가운데 외국인과 기관이 동반 매수에 나섰다. 증권가는 미국 뉴욕 ..,머니투데이 ,2024-06-25 16:47:52
"""짧은 납기가 강점"" 해외 수주 모멘텀에 K-방산주 상승세",https://n.news.naver.com/mnews/article/008/0005055359,국제 정세 불안이 지속되자 방산주가 해외 수출 기대감을 받으며 상승세를 보인다. 증권가에서는 수주 모멘텀(상승 여력)을 바탕으로 방산업..,머니투데이 ,2024-06-25 16:47:01
"김장회 행공 이사장 ""자산 26조 돌파""[fn마켓워치]",https://n.news.naver.com/mnews/article/014/0005204222,"김장회 행정공제회 이사장은 ""최근 자산 26조원을 돌파했다""며 ""자산이 매년 2조~3조원씩 증가하고 있다""고 25일 밝혔다. 행정공제회..",파이낸셜뉴스 ,2024-06-25 16:41:14
자고 일어났더니 시총 288조 증발…美 엔비디아 너무 올랐나,https://n.news.naver.com/mnews/article/629/0000299038,시총 1위 등극 후 3거래일 만에 13% 급락 2000년 시총 1위 시스코 폭락한 '닷컴 버블' 소환도 미국 인공지능(AI) 반도체 대..,더팩트 ,2024-06-25 16:40:14
"""고점 높은 성장산업""…MZ열기로 뜨거웠던 사모펀드 콘서트",https://n.news.naver.com/mnews/article/277/0005436851,최근 비트코인 현물 상장지수펀드(ETF)에 이어 이더리움도 현물 ETF 거래를 앞두고 있습니다. 가상자산 시장에 대해 어떻게 생각하십니..,아시아경제 ,2024-06-25 16:39:01
"[단독] 국민연금, 2024년 하반기 위탁증권사 47개사 선정...신한·대신證 등 탈락 '이변'",https://n.news.naver.com/mnews/article/014/0005204216,올해 하반기 자본시장 최대 큰손인 국민연금(NPS) 기금운용본부 거래 증권사의 베일이 공개됐다.가장 이목을 모았던 일반 거래증권사는 직..,파이낸셜뉴스 ,2024-06-25 16:33:14
 해상운임 고공행진에 물만난 해운株 '쭉쭉'[떡상해부],https://n.news.naver.com/mnews/article/001/0014768690,"후티 반군 홍해 상선 공격에 우회·파나마 운하는 가뭄에 통행제한 ""리스크 해소 시점 예측 어려워…성수기 고려하면 연말까지 업황 견조"" ..",연합뉴스 ,2024-06-25 16:33:00
`AI황제주` 엔비디아 급락… 삼전·하이닉스 떨고 있니,https://n.news.naver.com/mnews/article/029/0002882909,뉴욕증시의 기술주 랠리를 선두에서 이끌었던 엔비디아가 최근 급락한 가운데 국내 반도체 종목에 대한 투자심리도 덩달아 위축되지 않을지 우..,디지털타임스 ,2024-06-25 16:32:07
서학개미 맘 사로잡았다…토스증권의 '飛上',https://n.news.naver.com/mnews/article/031/0000847629,해외주식 개인투자자가 급증하면서 토스증권이 해외주식 중개서비스 부문에서 무서운 성장세를 보이고 있다. 토스증권은 해외주식 시장 점유율 ..,아이뉴스24 ,2024-06-25 16:31:08
밸류업 역행하는 자진상폐 급증,https://n.news.naver.com/mnews/article/031/0000847624,"정부가 국내 증시 저평가를 해소하기 위한 밸류업 프로그램을 추진하고 있지만, 도리어 상장을 폐지하려는 기업들이 늘고 있다. 업계에선 주..",아이뉴스24 ,2024-06-25 16:23:08
"한숨 돌린 코스피, 엔비디아發 된서리에도 사흘만에 반등(종합)",https://n.news.naver.com/mnews/article/001/0014768644,"외국인·기관 '사자'…AI열풍 소외됐던 대형주에 외인 자금 유입 삼전·SK하이닉스 상승 전환, 현대차그룹주 강세…코스닥 등락끝 강보합 ..",연합뉴스 ,2024-06-25 16:20:37
스팩주 IPO 흥행신화 마침표...상장 첫날 마이너스까지,https://n.news.naver.com/mnews/article/014/0005204205,IPO(기업공개) 승승장구하던 스팩(기업인수목적회사)주들이 상장 첫날 공모가를 밑돌며 흥행 신화에 마침표를 찍었다. 100%를 넘기던 ..,파이낸셜뉴스 ,2024-06-25 16:18:14
엔비디아 내리막에 국내 ETF도 ‘출렁’…이번주 주총 분기점 [투자360],https://n.news.naver.com/mnews/article/016/0002326819,미국 반도체 기업 엔비디아의 주가가 급락하자 국내 관련 상장지수펀드(ETF)도 25일 일제히 내림세를 나타냈다. 한국거래소에 따르면 이..,헤럴드경제 ,2024-06-25 16:18:11
"한중엔시엔스, 코스닥 데뷔 이튿날 '상한가' [핫종목]",https://n.news.naver.com/mnews/article/421/0007623474,한중엔시에스(107640)가 코스닥 이전상장 이튿날 상한가를 기록했다. 같은 날 신규 상장한 에스오에스랩(464080)은 공모가 대비 ..,뉴스1 ,2024-06-25 16:17:54
"LS증권, 범LG家 지붕 아래 '톱10' 진입할까",https://n.news.naver.com/mnews/article/243/0000061084,LS증권이 이베스트투자증권이라는 간판을 9년 만에 떼고 새로운 도약에 나섰다. 지난해 범LG가(家)이자 재계 서열 16위인 LS그룹에 ..,이코노미스트 ,2024-06-25 16:11:09
"""韓·美 중앙은행, 올 하반기 두 차례씩 금리인하 단행 전망""",https://n.news.naver.com/mnews/article/029/0002882893,금투협 채권포럼 개최…하반기 채권 및 크레딧시장 전망과 투자전략 모색 올 하반기 미국 중앙은행과 한국은행이 각각 2차례씩 금리인하를 단..,디지털타임스 ,2024-06-25 16:11:07
"코스피, 외인·기관 '사자'…2770선 마감",https://n.news.naver.com/mnews/article/277/0005436832,코스피가 외국인과 기관의 매수에 2770선에서 마감했다. 시가총액 상위 대부분의 종목이 보합권을 기록했다. 코스피는 25일 전거래일 대..,아시아경제 ,2024-06-25 16:09:36
 엔비디아 빠져도 삼성전자·SK하이닉스 올랐다[마켓뷰],https://n.news.naver.com/mnews/article/366/0001000319,코스피지수가 3거래일 만에 반등했다. 미국 뉴욕증시에서 반도체 기업 엔비디아를 비롯한 인공지능(AI) 관련 종목들이 약세를 이어간 것과..,조선비즈 ,2024-06-25 16:07:10
"남양유업 인수한 한앤코의 공식적인 첫 수, 자기주식 취득",https://n.news.naver.com/mnews/article/009/0005324476,"배당률 상승 등 주주 가치 제고 남양유업, 5%대 상승세 남양유업을 인수한 사모펀드 운용사(PEF) 한앤컴퍼니의 공식적인 첫 수는 자기..",매일경제 ,2024-06-25 16:00:07
"""레고랜드發 '회사채 시장 양극화', 올 들어 해소 시작""",https://n.news.naver.com/mnews/article/001/0014768563,크레딧물 수요 늘며 우량·비우량채 금리 차 ↓ 레고랜드 사태 이후 벌어졌던 우량 등급(AA- 이상)과 비우량 등급(A+ 이하) 회사채 ..,연합뉴스 ,2024-06-25 16:00:01
코스피는 해운株 홀릭...외인·기관 '사자',https://n.news.naver.com/mnews/article/014/0005204182,"해운업종이 연일 강세다. 해상운임이 상승하고, 환경 규제가 강화되면서 선박 교체 수요가 지속될 것이란 전망이다. 25일 한국거래소에 따..",파이낸셜뉴스 ,2024-06-25 15:56:18
"채권개미, 후순위채까지 '노크'…불법 판매 우려도",https://n.news.naver.com/mnews/article/008/0005055310,"올들어 개인들의 채권에 대한 관심이 높아지고 있는 가운데, 금융사들이 발행하는 자본성증권에 투자하는 경우도 늘고 있는 것으로 나타났다...",머니투데이 ,2024-06-25 15:55:11
"""롤러코스터 탄 AI""…코스피, 기관 매수에 상승 마감",https://n.news.naver.com/mnews/article/015/0005001579,"코스피가 상승마감했다. 지수는 올랐지만, 개별 종목 주가는 롤러코스터를 탔다. 장 초반 강세를 보였던 종목들은 상승분을 반납하거나 하락..",한국경제 ,2024-06-25 15:54:11
"시공사들, 불황에 ‘울며 겨자먹기’로 공사비 대신 물류센터 떠안는다",https://n.news.naver.com/mnews/article/009/0005324468,부동산 시장 불황에 시공사들이 직접 시공한 물류센터를 떠안고 있다. 자산을 인수해 시장이 반등할 때까지 기다렸다가 적절한 시기에 엑시트..,매일경제 ,2024-06-25 15:53:10
"게임주, 전반적 강세 마감…엔씨소프트 7%↑",https://n.news.naver.com/mnews/article/009/0005324465,"게임주가 전반적인 강세로 마감했다. 엔씨소프트와 드래곤플라이가 7%대, 컴투스 5.13%, 넥슨게임즈와 플레이위드가 4%대, 컴투스홀딩..",매일경제 ,2024-06-25 15:50:10
외국인 매수에 840선 강보합…제약주 두각[코스닥 마감],https://n.news.naver.com/mnews/article/018/0005773405,코스닥이 4거래일 만에 소폭 상승 마감했다. 25일 마켓포인트에 따르면 코스닥 지수는 전거래일 대비 0.47포인트(0.06%) 상승한 ..,이데일리 ,2024-06-25 15:47:08
“자다 깨서 폰 봤는데 눈물이 콸콸”...연이은 악재에 비트코인 8% 급락,https://n.news.naver.com/mnews/article/009/0005324462,"마운트곡스, 7월 매도 공식화 ETF 7일 연속 순유출 영향도 하락하던 비트코인이 새벽시간 8% 가량 급락하며 한 때 6만달러선 아래로..",매일경제 ,2024-06-25 15:45:10
"“주춤해진 금 가격, 3분기엔 뛴다···지금이 저가매수 기회”",https://n.news.naver.com/mnews/article/009/0005324460,지난달 2450달러 육박한 금값 달러강세로 2300달러대 하락 지정학 위기·중앙은행 금 선호로 올 3분기부터 반등 예측 잇따라 BofA..,매일경제 ,2024-06-25 15:43:07
"'화성 화재' 에스코넥 ""깊은 애도와 사죄""…뭐하는 회사길래",https://n.news.naver.com/mnews/article/015/0005001565,"박순관 에스코넥 대표가 리튬 배터리 자회사인 아리셀 공장 '화재 참사'와 관련해 대국민 사과를 한 가운데, 코스닥 상장사 '에스코넥'에..",한국경제 ,2024-06-25 15:35:13
"유나이티드헬스, 드디어 매수 기회가 왔다 (영상)",https://n.news.naver.com/mnews/article/018/0005773391,미국 최대 헬스케어 및 보험서비스 제공 기업 유나이티드헬스 그룹(UNH)에 대해 매력적인 매수 구간에 진입했다는 평가가 월가로부터 나왔..,이데일리 ,2024-06-25 15:34:08
금감원 ‘채권개미’ 대상 편법영업에 칼 …내일 한투·유진證 검사 [투자360],https://n.news.naver.com/mnews/article/016/0002326788,증권업계의 '채권 개미'들을 상대로 한 편법 영업 관행에 금융감독원이 본격적으로 칼을 빼 든다. 그간 기관 중심이었던 채권 영업 및 판..,헤럴드경제 ,2024-06-25 15:33:07
"""엔비디아, 80% 대폭락 나올 수도"" 닷컴버블 재연 우려",https://n.news.naver.com/mnews/article/277/0005436795,"거침없이 고공행진하던 인공지능(AI) 대장주 엔비디아가 사흘 만에 주가가 13% 폭락, 조정 국면에 진입하면서 2000년대 초반 '닷컴..",아시아경제 ,2024-06-25 15:28:54
기업투자 묶인 돈만 50조 역대 최고,https://n.news.naver.com/mnews/article/030/0003217512,50조원에 육박하는 자금이 투자처를 찾지 못하고 있다. 역대 최고 수준이다. 지난해부터사모펀드(PEF)와 벤처캐피털(VC) 모두 투자금..,전자신문 ,2024-06-25 15:22:12
‘또 한국투자證?‘ 파두에 이노그리드까지…IPO 신뢰 회복 시험대,https://n.news.naver.com/mnews/article/629/0000298967,올해 상반기 IPO 상장 주관 순위 뒷걸음질 한국투자증권의 기업공개(IPO) 입지가 흔들리고 있다. 사상 초유의 이노그리드 상장 무효로..,더팩트 ,2024-06-25 15:15:16
"기업가치 3.5兆 고평가 우려에… 시프트업 ""회사의 미래 성장성 봐달라""",https://n.news.naver.com/mnews/article/366/0001000294,"“스텔라 블레이드, 판매량 100만장 돌파 추정” ”스텔라 블레이드 성장 반영하면 기업가치 더 높아질 것” 최대 3조5000억원의 시가..",조선비즈 ,2024-06-25 15:14:14
"SK하이닉스 시총 > 현대차그룹 시총…""AI 반도체 효과""",https://n.news.naver.com/mnews/article/008/0005055275,SK하이닉스가 HBM(고대역폭 메모리) 수요에 힘입어 현대자동차그룹 전체를 웃도는 규모로 시가총액이 불어났다. SK하이닉스 주가는 코스..,머니투데이 ,2024-06-25 15:06:54
"‘양압기 회사’ 레스메트, 일라이릴리 탓에 급락…무슨일이 (영상)",https://n.news.naver.com/mnews/article/018/0005773354,24일(현지시간) 뉴욕증시 3대 지수는 혼조세로 마감했다. 그동안 상대적으로 부진한 흐름을 보였던 다우지수는 0.7% 오른 반면 사상 ..,이데일리 ,2024-06-25 15:05:09
 중국과 다른 美 화장품 시장…기형적 유통구조서 탈피[마켓칼럼],https://n.news.naver.com/mnews/article/015/0005001552,※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가..,한국경제 ,2024-06-25 15:01:09
